Time,EncoderPosition,TargetCounts
3.02,0,700
3.02,0,700
3.02,0,700
3.02,0,700
3.02,1,700
3.02,1,700
3.03,6,700
3.04,23,700
3.06,49,700
3.07,81,700
3.08,118,700
3.1,160,700
3.11,206,700
3.13,252,700
3.14,300,700
3.16,349,700
3.17,398,700
3.18,448,700
3.2,498,700
3.21,549,700
3.23,599,700
3.24,650,700
3.26,700,700
3.27,751,700
3.29,800,700
3.3,818,700
3.32,811,700
3.33,789,700
3.35,758,700
3.36,721,700
3.37,680,700
3.39,636,700
3.4,597,700
3.42,586,700
3.43,597,700
3.45,621,700
3.46,653,700
3.48,692,700
3.49,734,700
3.51,776,700
3.52,791,700
3.53,783,700
3.55,761,700
3.56,730,700
3.58,692,700
3.59,651,700
3.61,609,700
3.62,594,700
3.64,604,700
3.65,627,700
3.66,659,700
3.68,697,700
3.69,739,700
3.71,781,700
3.72,796,700
3.74,786,700
3.75,763,700
3.77,732,700
3.78,694,700
3.8,652,700
3.81,610,700
3.83,596,700
3.84,604,700
3.85,626,700
3.87,658,700
3.88,695,700
3.9,737,700
3.91,779,700
3.93,794,700
3.94,786,700
3.96,764,700
3.97,734,700
3.98,696,700
4.0,655,700
4.01,614,700
4.03,599,700
4.04,607,700
4.06,628,700
4.07,659,700
4.09,697,700
4.1,738,700
4.12,780,700
4.13,795,700
4.15,786,700
4.16,763,700
4.17,732,700
4.19,695,700
4.2,653,700
4.22,611,700
4.23,597,700
4.25,606,700
4.26,629,700
4.28,661,700
4.29,699,700
4.3,741,700
4.32,783,700
4.34,797,700
4.35,788,700
4.36,766,700
4.38,734,700
4.39,697,700
4.41,655,700
4.42,614,700
4.44,599,700
4.45,607,700
4.47,628,700
4.48,659,700
4.5,696,700
4.51,738,700
4.52,780,700
4.54,794,700
4.55,786,700
4.57,764,700
4.58,733,700
4.6,696,700
4.61,654,700
4.63,613,700
4.64,598,700
4.66,606,700
4.67,628,700
4.68,660,700
4.7,697,700
4.71,739,700
4.73,781,700
4.74,795,700
4.76,786,700
4.77,763,700
4.79,731,700
4.8,694,700
4.82,652,700
4.83,610,700
4.84,596,700
4.86,604,700
4.87,627,700
4.89,658,700
4.9,696,700
4.92,737,700
4.93,779,700
4.95,794,700
4.96,786,700
4.98,764,700
4.99,734,700
5.01,696,700
5.02,655,700
5.03,613,700
5.05,599,700
5.06,606,700
5.08,628,700
5.09,659,700
5.11,696,700
5.12,738,700
5.14,780,700
5.15,794,700
5.17,786,700
5.18,764,700
5.19,733,700
5.21,696,700
5.22,655,700
5.24,613,700
5.25,598,700
5.27,606,700
5.28,628,700
5.3,659,700
5.31,696,700
5.32,738,700
5.34,780,700
5.35,795,700
5.37,786,700
5.38,764,700
5.4,733,700
5.41,695,700
5.43,654,700
5.44,612,700
5.46,598,700
5.47,606,700
5.49,629,700
5.5,660,700
5.51,698,700
5.53,740,700
5.54,782,700
5.56,796,700
5.57,787,700
5.59,764,700
5.6,733,700
5.62,696,700
5.63,654,700
5.65,612,700
5.66,598,700
5.68,606,700
5.69,629,700
5.7,660,700
5.72,698,700
5.73,740,700
5.75,782,700
5.76,796,700
5.78,787,700
5.79,765,700
5.81,734,700
5.82,696,700
5.83,655,700
5.85,613,700
5.86,598,700
5.88,606,700
5.89,628,700
5.91,659,700
5.92,696,700
5.94,738,700
5.95,780,700
5.97,794,700
5.98,786,700
5.99,764,700
6.01,733,700
6.02,696,700
6.04,655,700
6.05,613,700
6.07,598,700
6.08,606,700
6.1,628,700
6.11,659,700
6.13,696,700
6.14,738,700
6.16,780,700
6.17,795,700
6.18,786,700
6.2,764,700
6.21,732,700
6.23,695,700
6.24,654,700
6.26,612,700
6.27,597,700
6.29,606,700
6.3,629,700
6.32,660,700
6.33,698,700
6.34,740,700
6.36,782,700
6.37,797,700
6.39,788,700
6.4,766,700
6.42,734,700
6.43,697,700
6.45,656,700
6.46,614,700
6.48,599,700
6.49,607,700
6.5,628,700
6.52,659,700
6.53,696,700
6.55,738,700
6.56,780,700
6.58,794,700
6.59,786,700
6.61,764,700
6.62,733,700
6.64,696,700
6.65,655,700
6.67,613,700
6.68,599,700
6.69,606,700
6.71,628,700
6.72,659,700
6.74,696,700
6.75,737,700
6.77,779,700
6.78,794,700
6.8,786,700
6.81,764,700
6.82,734,700
6.84,697,700
6.85,656,700
6.87,614,700
6.88,599,700
6.9,607,700
6.91,628,700
6.93,659,700
6.94,696,700
6.96,738,700
6.97,780,700
6.98,794,700
7.0,786,700
7.01,764,700
7.03,734,700
7.04,696,700
7.06,655,700
7.07,613,700
7.09,599,700
7.1,606,700
7.11,628,700
7.13,659,700
7.15,696,700
7.16,737,700
7.17,779,700
7.19,794,700
7.2,786,700
7.22,764,700
7.23,734,700
7.25,697,700
7.26,656,700
7.28,614,700
7.29,600,700
7.3,607,700
7.32,629,700
7.33,660,700
7.35,697,700
7.36,738,700
7.38,780,700
7.39,795,700
7.41,786,700
7.42,764,700
7.44,733,700
7.45,696,700
7.47,654,700
7.48,612,700
7.49,598,700
7.51,606,700
7.52,629,700
7.54,660,700
7.55,697,700
7.57,739,700
7.58,781,700
7.6,796,700
7.61,786,700
7.63,764,700
7.64,732,700
7.65,695,700
7.67,653,700
7.68,611,700
7.7,597,700
7.71,606,700
7.73,628,700
7.74,660,700
7.76,697,700
7.77,739,700
7.78,781,700
7.8,796,700
7.82,786,700
7.83,763,700
7.84,732,700
7.86,694,700
7.87,653,700
7.89,611,700
7.9,596,700
7.92,604,700
7.93,626,700
7.95,657,700
7.96,694,700
7.97,736,700
7.99,778,700
8.0,792,700
8.02,785,700
8.03,764,700
8.05,733,700
8.06,696,700
8.08,655,700
8.09,614,700
8.1,599,700
8.12,607,700
8.14,628,700
8.15,659,700
8.16,696,700
8.18,737,700
8.19,779,700
8.21,794,700
8.22,786,700
8.24,765,700
8.25,734,700
8.27,697,700
8.28,656,700
8.3,615,700
8.31,600,700
8.32,608,700
8.34,630,700
8.35,661,700
8.37,698,700
8.38,739,700
8.4,781,700
8.41,796,700
8.43,786,700
8.44,763,700
8.46,732,700
8.47,694,700
8.48,653,700
8.5,611,700
8.51,596,700
8.53,604,700
8.54,626,700
8.56,657,700
8.57,694,700
8.59,736,700
8.6,778,700
8.61,792,700
8.63,785,700
8.64,764,700
8.66,734,700
8.67,697,700
8.69,656,700
8.7,615,700
8.72,601,700
8.73,609,700
8.75,631,700
8.76,662,700
8.77,700,700
8.79,741,700
8.81,783,700
8.82,798,700
8.83,789,700
8.85,766,700
8.86,735,700
8.88,698,700
8.89,657,700
8.91,615,700
8.92,600,700
8.94,608,700
8.95,630,700
8.97,660,700
8.98,698,700
8.99,739,700
9.01,781,700
9.02,796,700
9.04,786,700
9.05,763,700
9.07,732,700
9.08,694,700
9.1,653,700
9.11,611,700
9.12,596,700
9.14,604,700
9.15,626,700
9.17,657,700
9.18,694,700
9.2,736,700
9.21,777,700
9.23,792,700
9.24,785,700
9.26,764,700
9.27,734,700
9.28,697,700
9.3,656,700
9.31,614,700
9.33,600,700
9.34,608,700
9.36,630,700
9.37,660,700
9.39,698,700
9.4,739,700
9.42,781,700
9.43,796,700
9.44,786,700
9.46,763,700
9.48,732,700
9.49,694,700
9.5,653,700
9.52,611,700
9.53,596,700
9.55,604,700
9.56,626,700
9.58,657,700
9.59,694,700
9.61,736,700
9.62,778,700
9.63,792,700
9.65,785,700
9.66,764,700
9.68,734,700
9.69,697,700
9.71,656,700
9.72,614,700
9.74,600,700
9.75,608,700
9.77,629,700
9.78,660,700
9.8,697,700
9.81,739,700
9.82,780,700
9.84,795,700
9.85,786,700
9.87,763,700
9.88,732,700
9.9,694,700
9.91,653,700
9.93,611,700
9.94,596,700
9.96,605,700
9.97,627,700
9.98,659,700
10.0,699,700
10.01,744,700
10.03,788,700
10.05,801,700
10.06,790,700
10.08,765,700
10.09,730,700
10.11,688,700
10.12,643,700
10.14,598,700
10.15,585,700
10.17,598,700
10.19,624,700
10.2,660,700
10.22,702,700
10.23,748,700
10.25,794,700
10.26,807,700
10.28,795,700
10.3,769,700
10.31,734,700
10.33,692,700
10.34,646,700
10.36,601,700
10.37,588,700
10.39,601,700
10.4,628,700
10.42,663,700
10.44,706,700
10.45,752,700
10.47,797,700
10.48,810,700
10.5,798,700
10.51,772,700
10.53,736,700
10.55,695,700
10.56,649,700
10.57,604,700
10.59,591,700
10.61,602,700
10.62,628,700
10.64,664,700
10.65,705,700
10.67,751,700
10.69,796,700
10.7,809,700
10.72,796,700
10.73,768,700
10.75,732,700
10.76,690,700
10.78,644,700
10.8,599,700
10.81,586,700
10.82,598,700
10.84,624,700
10.86,660,700
10.87,702,700
10.89,748,700
10.9,794,700
10.92,807,700
10.94,795,700
10.95,769,700
10.97,733,700
10.98,692,700
11.0,646,700
11.01,601,700
11.03,588,700
11.04,601,700
11.06,627,700
11.07,663,700
11.09,705,700
11.11,751,700
11.12,797,700
11.14,810,700
11.15,797,700
11.17,770,700
11.18,734,700
11.2,693,700
11.22,647,700
11.23,602,700
11.25,588,700
11.26,601,700
11.28,627,700
11.29,663,700
11.31,705,700
11.32,751,700
11.34,796,700
11.36,809,700
11.37,795,700
11.39,768,700
11.4,732,700
11.42,690,700
11.43,644,700
11.45,599,700
11.47,586,700
11.48,598,700
11.5,624,700
11.51,660,700
11.53,702,700
11.54,749,700
11.56,794,700
11.57,807,700
11.59,795,700
11.61,769,700
11.62,734,700
11.64,692,700
11.65,646,700
11.67,601,700
11.68,588,700
11.7,601,700
11.71,627,700
11.73,663,700
11.75,705,700
11.76,752,700
11.78,797,700
11.79,810,700
11.81,798,700
11.82,772,700
11.84,736,700
11.85,695,700
11.87,649,700
11.89,604,700
11.9,591,700
11.92,602,700
11.93,628,700
11.95,663,700
11.96,705,700
11.98,751,700
12.0,796,700
12.01,809,700
12.03,795,700
12.04,768,700
12.06,732,700
12.07,690,700
12.09,644,700
12.1,599,700
12.12,586,700
12.14,598,700
12.15,624,700
12.17,660,700
12.18,702,700
12.2,748,700
12.21,794,700
12.23,807,700
12.24,795,700
12.26,769,700
12.28,734,700
12.29,692,700
12.31,646,700
12.32,601,700
12.34,588,700
12.35,601,700
12.37,627,700
12.39,663,700
12.4,706,700
12.42,752,700
12.43,797,700
12.45,810,700
12.46,798,700
12.48,772,700
12.49,737,700
12.51,695,700
12.53,650,700
12.54,605,700
12.56,592,700
12.57,604,700
12.59,631,700
12.6,667,700
12.62,709,700
12.64,755,700
12.65,801,700
12.67,814,700
12.68,801,700
12.7,774,700
12.71,739,700
12.73,697,700
12.74,651,700
12.76,606,700
12.77,593,700
12.79,607,700
12.81,635,700
12.82,671,700
12.84,714,700
12.85,760,700
12.87,799,700
12.88,807,700
12.9,792,700
12.92,764,700
12.93,727,700
12.95,685,700
12.96,639,700
12.98,600,700
12.99,592,700
13.01,605,700
13.02,633,700
13.04,669,700
13.06,712,700
13.07,758,700
13.09,804,700
13.1,817,700
13.12,805,700
13.13,779,700
13.15,744,700
13.17,702,700
13.18,656,700
13.2,611,700
13.21,598,700
13.23,609,700
13.24,635,700
13.26,671,700
13.27,713,700
13.29,758,700
13.31,797,700
13.32,806,700
13.34,792,700
13.35,765,700
13.37,729,700
13.38,686,700
13.4,641,700
13.42,602,700
13.43,594,700
13.45,611,700
13.46,640,700
13.48,678,700
13.49,721,700
13.51,767,700
13.52,807,700
13.54,816,700
13.56,801,700
13.57,773,700
13.59,737,700
13.6,694,700
13.62,648,700
13.63,603,700
13.65,589,700
13.67,600,700
13.68,626,700
13.7,661,700
13.71,703,700
13.73,749,700
13.74,794,700
13.76,807,700
13.77,795,700
13.79,769,700
13.81,734,700
13.82,692,700
13.84,646,700
13.85,601,700
13.87,588,700
13.88,601,700
13.9,627,700
13.91,663,700
13.93,705,700
13.94,751,700
13.96,796,700
13.98,810,700
13.99,796,700
14.01,769,700
14.02,734,700
14.04,692,700
14.06,646,700
14.07,601,700
14.09,587,700
14.1,600,700
14.12,626,700
14.13,662,700
14.15,704,700
14.16,750,700
14.18,796,700
14.19,809,700
14.21,795,700
14.23,768,700
14.24,732,700
14.26,690,700
14.27,644,700
14.29,599,700
14.3,586,700
14.32,598,700
14.34,624,700
14.35,660,700
14.37,702,700
14.38,748,700
14.4,793,700
14.41,807,700
14.43,795,700
14.44,769,700
14.46,734,700
14.48,692,700
14.49,646,700
14.51,601,700
14.52,588,700
14.54,601,700
14.55,627,700
14.57,663,700
14.59,705,700
14.6,752,700
14.62,797,700
14.63,810,700
14.65,798,700
14.66,772,700
14.68,736,700
14.69,695,700
14.71,649,700
14.73,604,700
14.74,591,700
14.76,602,700
14.77,628,700
14.79,663,700
14.8,705,700
14.82,751,700
14.83,796,700
14.85,809,700
14.87,795,700
14.88,768,700
14.9,732,700
14.91,690,700
14.93,644,700
14.94,599,700
14.96,586,700
14.97,598,700
14.99,624,700
15.01,660,700
15.02,702,700
15.04,748,700
15.05,793,700
15.07,807,700
15.08,795,700
15.1,769,700
15.11,734,700
15.13,692,700
15.15,647,700
15.16,602,700
15.18,588,700
15.19,600,700
15.21,627,700
15.22,662,700
15.24,704,700
15.26,750,700
15.27,796,700
15.29,809,700
15.3,795,700
15.32,768,700
15.33,732,700
