Time,EncoderPosition,TargetCounts
3.02,0,700
3.02,0,700
3.02,0,700
3.02,0,700
3.02,0,700
3.02,0,700
3.03,3,700
3.04,13,700
3.06,30,700
3.07,52,700
3.08,78,700
3.1,108,700
3.11,142,700
3.13,178,700
3.14,216,700
3.15,255,700
3.17,295,700
3.18,336,700
3.2,377,700
3.21,418,700
3.23,460,700
3.24,503,700
3.26,545,700
3.27,587,700
3.29,630,700
3.3,672,700
3.31,715,700
3.33,757,700
3.34,795,700
3.36,812,700
3.37,812,700
3.39,802,700
3.4,784,700
3.42,760,700
3.43,732,700
3.45,700,700
3.46,666,700
3.48,631,700
3.49,615,700
3.5,617,700
3.52,629,700
3.53,649,700
3.55,674,700
3.56,703,700
3.58,735,700
3.59,768,700
3.61,782,700
3.62,780,700
3.64,766,700
3.65,746,700
3.66,721,700
3.68,692,700
3.69,659,700
3.71,631,700
3.72,621,700
3.74,624,700
3.75,638,700
3.77,658,700
3.78,683,700
3.79,713,700
3.81,745,700
3.82,773,700
3.84,783,700
3.85,778,700
3.87,763,700
3.88,742,700
3.9,715,700
3.91,685,700
3.93,652,700
3.94,623,700
3.96,612,700
3.97,619,700
3.98,634,700
4.0,656,700
4.01,683,700
4.03,713,700
4.04,746,700
4.06,775,700
4.07,786,700
4.09,782,700
4.1,769,700
4.11,748,700
4.13,722,700
4.15,693,700
4.16,660,700
4.17,631,700
4.19,620,700
4.2,624,700
4.22,637,700
4.23,657,700
4.25,682,700
4.26,711,700
4.28,743,700
4.29,771,700
4.3,781,700
4.32,776,700
4.33,762,700
4.35,741,700
4.36,714,700
4.38,684,700
4.39,651,700
4.41,622,700
4.42,611,700
4.44,615,700
4.45,628,700
4.46,648,700
4.48,673,700
4.49,702,700
4.51,735,700
4.52,768,700
4.54,782,700
4.55,779,700
4.57,765,700
4.58,745,700
4.59,720,700
4.61,690,700
4.63,658,700
4.64,628,700
4.65,616,700
4.67,620,700
4.68,633,700
4.7,653,700
4.71,678,700
4.73,707,700
4.74,739,700
4.76,768,700
4.77,780,700
4.78,775,700
4.8,761,700
4.81,740,700
4.83,714,700
4.84,684,700
4.86,652,700
4.87,622,700
4.89,610,700
4.9,613,700
4.92,625,700
4.93,644,700
4.95,668,700
4.96,697,700
4.97,729,700
4.99,762,700
5.0,777,700
5.02,774,700
5.03,762,700
5.05,742,700
5.06,717,700
5.08,688,700
5.09,656,700
5.11,628,700
5.12,617,700
5.14,622,700
5.15,636,700
5.16,657,700
5.18,683,700
5.19,712,700
5.21,745,700
5.22,773,700
5.24,784,700
5.25,780,700
5.26,766,700
5.28,746,700
5.3,720,700
5.31,690,700
5.32,658,700
5.34,629,700
5.35,618,700
5.37,622,700
5.38,635,700
5.4,655,700
5.41,680,700
5.43,709,700
5.44,741,700
5.45,769,700
5.47,779,700
5.48,772,700
5.5,757,700
5.51,736,700
5.53,709,700
5.54,678,700
5.56,646,700
5.57,632,700
5.59,634,700
5.6,647,700
5.61,667,700
5.63,692,700
5.64,722,700
5.66,752,700
5.67,766,700
5.69,764,700
5.7,752,700
5.72,734,700
5.73,709,700
5.75,680,700
5.76,650,700
5.78,636,700
5.79,640,700
5.8,653,700
5.82,673,700
5.83,698,700
5.85,727,700
5.86,758,700
5.88,772,700
5.89,768,700
5.91,755,700
5.92,734,700
5.94,709,700
5.95,679,700
5.96,648,700
5.98,634,700
5.99,636,700
6.01,649,700
6.02,668,700
6.04,693,700
6.05,722,700
6.07,753,700
6.08,766,700
6.09,765,700
6.11,754,700
6.12,735,700
6.14,711,700
6.15,682,700
6.17,652,700
6.18,638,700
6.2,640,700
6.21,652,700
6.23,671,700
6.24,696,700
6.26,724,700
6.27,754,700
6.28,768,700
6.3,765,700
6.31,753,700
6.33,734,700
6.34,709,700
6.36,680,700
6.37,649,700
6.39,635,700
6.4,638,700
6.42,650,700
6.43,670,700
6.45,694,700
6.46,723,700
6.47,753,700
6.49,767,700
6.5,765,700
6.52,754,700
6.53,735,700
6.55,710,700
6.56,682,700
6.58,651,700
6.59,638,700
6.61,640,700
6.62,651,700
6.63,670,700
6.65,694,700
6.66,723,700
6.68,753,700
6.69,765,700
6.71,763,700
6.72,752,700
6.74,732,700
6.75,708,700
6.76,679,700
6.78,648,700
6.79,635,700
6.81,638,700
6.82,650,700
6.84,670,700
6.85,695,700
6.87,724,700
6.88,754,700
6.9,767,700
6.91,765,700
6.93,753,700
6.94,735,700
6.96,710,700
6.97,681,700
6.98,651,700
7.0,639,700
7.01,642,700
7.03,654,700
7.04,673,700
7.06,698,700
7.07,727,700
7.09,757,700
7.1,770,700
7.11,766,700
7.13,754,700
7.14,734,700
7.16,708,700
7.17,679,700
7.19,648,700
7.2,635,700
7.22,638,700
7.23,650,700
7.25,670,700
7.26,695,700
7.28,724,700
7.29,754,700
7.3,766,700
7.32,764,700
7.33,753,700
7.35,734,700
7.36,710,700
7.38,681,700
7.39,650,700
7.41,638,700
7.42,640,700
7.44,652,700
7.45,670,700
7.46,695,700
7.48,724,700
7.49,753,700
7.51,766,700
7.52,763,700
7.54,751,700
7.55,732,700
7.57,707,700
7.58,678,700
7.59,647,700
7.61,634,700
7.62,638,700
7.64,651,700
7.65,671,700
7.67,696,700
7.68,726,700
7.7,756,700
7.71,770,700
7.73,767,700
7.74,754,700
7.76,735,700
7.77,710,700
7.78,680,700
7.8,649,700
7.81,635,700
7.83,638,700
7.84,650,700
7.86,669,700
7.87,694,700
7.89,722,700
7.9,753,700
7.92,766,700
7.93,763,700
7.95,752,700
7.96,732,700
7.97,708,700
7.99,679,700
8.0,648,700
8.02,635,700
8.03,638,700
8.05,650,700
8.06,670,700
8.08,695,700
8.09,724,700
8.1,755,700
8.12,769,700
8.13,767,700
8.15,755,700
8.16,735,700
8.18,710,700
8.19,681,700
8.21,650,700
8.22,636,700
8.24,638,700
8.25,650,700
8.27,669,700
8.28,694,700
8.29,722,700
8.31,753,700
8.32,766,700
8.34,764,700
8.35,753,700
8.37,735,700
8.38,711,700
8.4,682,700
8.41,651,700
8.43,637,700
8.44,640,700
8.45,651,700
8.47,670,700
8.48,695,700
8.5,723,700
8.51,754,700
8.53,767,700
8.54,765,700
8.56,754,700
8.57,735,700
8.59,711,700
8.6,682,700
8.61,651,700
8.63,638,700
8.64,640,700
8.66,651,700
8.67,670,700
8.69,694,700
8.7,722,700
8.72,752,700
8.73,766,700
8.75,764,700
8.76,752,700
8.77,733,700
8.79,708,700
8.8,679,700
8.82,648,700
8.83,635,700
8.85,638,700
8.86,650,700
8.88,670,700
8.89,694,700
8.9,723,700
8.92,754,700
8.94,767,700
8.95,765,700
8.96,753,700
8.98,734,700
8.99,709,700
9.01,680,700
9.02,650,700
9.04,637,700
9.05,640,700
9.07,653,700
9.08,672,700
9.1,697,700
9.11,726,700
9.12,757,700
9.14,770,700
9.15,767,700
9.17,754,700
9.18,734,700
9.2,709,700
9.21,679,700
9.23,648,700
9.24,634,700
9.25,637,700
9.27,649,700
9.28,669,700
9.3,694,700
9.31,723,700
9.33,753,700
9.34,766,700
9.36,764,700
9.37,753,700
9.39,734,700
9.4,710,700
9.42,681,700
9.43,651,700
9.44,638,700
9.46,640,700
9.47,652,700
9.49,670,700
9.5,694,700
9.52,723,700
9.53,753,700
9.55,765,700
9.56,762,700
9.57,749,700
9.59,730,700
9.6,705,700
9.62,675,700
9.63,644,700
9.65,631,700
9.66,632,700
9.68,644,700
9.69,662,700
9.71,687,700
9.72,715,700
9.74,746,700
9.75,774,700
9.76,783,700
9.78,778,700
9.79,763,700
9.81,742,700
9.82,716,700
9.84,685,700
9.85,653,700
9.87,624,700
9.88,613,700
9.9,620,700
9.91,634,700
9.92,656,700
9.94,682,700
9.95,712,700
9.97,744,700
9.98,773,700
10.0,783,700
10.01,777,700
10.03,761,700
10.04,737,700
10.06,707,700
10.08,674,700
10.09,639,700
10.11,625,700
10.12,630,700
10.14,645,700
10.15,668,700
10.17,696,700
10.18,729,700
10.2,762,700
10.22,774,700
10.23,768,700
10.25,752,700
10.26,729,700
10.28,700,700
10.29,666,700
10.31,632,700
10.32,618,700
10.34,622,700
10.36,637,700
10.37,659,700
10.39,687,700
10.4,720,700
10.42,752,700
10.43,765,700
10.45,760,700
10.47,744,700
10.48,721,700
10.5,692,700
10.51,660,700
10.53,631,700
10.54,623,700
10.56,631,700
10.57,649,700
10.59,673,700
10.61,703,700
10.62,736,700
10.64,771,700
10.65,786,700
10.67,782,700
10.68,768,700
10.7,746,700
10.72,718,700
10.73,686,700
10.75,651,700
10.76,620,700
10.78,610,700
10.79,616,700
10.81,631,700
10.82,654,700
10.84,683,700
10.85,716,700
10.87,751,700
10.89,781,700
10.9,791,700
10.92,784,700
10.93,766,700
10.95,742,700
10.96,712,700
10.98,679,700
11.0,645,700
11.01,632,700
11.03,638,700
11.04,654,700
11.06,677,700
11.07,706,700
11.09,739,700
11.1,773,700
11.12,786,700
11.14,782,700
11.15,767,700
11.17,744,700
11.18,715,700
11.2,682,700
11.21,647,700
11.23,616,700
11.25,606,700
11.26,613,700
11.28,630,700
11.29,654,700
11.31,683,700
11.32,716,700
11.34,752,700
11.35,782,700
11.37,792,700
11.39,783,700
11.4,766,700
11.42,741,700
11.43,711,700
11.45,677,700
11.46,642,700
11.48,628,700
11.5,632,700
11.51,646,700
11.53,667,700
11.54,695,700
11.56,726,700
11.57,759,700
11.59,770,700
11.6,764,700
11.62,748,700
11.64,725,700
11.65,696,700
11.67,663,700
11.68,629,700
11.7,614,700
11.71,619,700
11.73,634,700
11.75,657,700
11.76,685,700
11.78,718,700
11.79,753,700
11.81,783,700
11.82,793,700
11.84,785,700
11.85,768,700
11.87,743,700
11.89,713,700
11.9,679,700
11.92,644,700
11.93,628,700
11.95,631,700
11.96,644,700
11.98,666,700
12.0,693,700
12.01,725,700
12.02,758,700
12.04,770,700
12.06,765,700
12.07,749,700
12.09,726,700
12.1,698,700
12.12,664,700
12.14,631,700
12.15,618,700
12.17,622,700
12.18,637,700
12.2,660,700
12.21,688,700
12.23,720,700
12.24,754,700
12.26,766,700
12.27,762,700
12.29,748,700
12.31,726,700
12.32,698,700
12.34,666,700
12.35,631,700
12.37,616,700
12.38,620,700
12.4,634,700
12.42,655,700
12.43,683,700
12.45,715,700
12.46,750,700
12.48,780,700
12.49,789,700
12.51,781,700
12.52,764,700
12.54,740,700
12.56,710,700
12.57,676,700
12.59,642,700
12.6,628,700
12.62,632,700
12.63,646,700
12.65,669,700
12.67,697,700
12.68,729,700
12.7,762,700
12.71,776,700
12.73,772,700
12.74,758,700
12.76,735,700
12.77,707,700
12.79,674,700
12.81,641,700
12.82,629,700
12.84,632,700
12.85,646,700
12.87,668,700
12.88,696,700
12.9,727,700
12.91,761,700
12.93,774,700
12.95,769,700
12.96,754,700
12.98,731,700
12.99,703,700
13.01,670,700
13.02,636,700
13.04,623,700
13.06,629,700
13.07,644,700
13.09,668,700
13.1,696,700
13.12,729,700
13.13,762,700
13.15,775,700
13.16,771,700
13.18,756,700
13.2,734,700
13.21,706,700
13.23,673,700
13.24,640,700
13.26,627,700
13.27,633,700
13.29,648,700
13.3,671,700
13.32,699,700
13.34,732,700
13.35,765,700
13.37,779,700
13.38,774,700
