Time,EncoderPosition,TargetCounts
3.02,0,-350
3.02,0,-350
3.02,0,-350
3.02,0,-350
3.02,0,-350
3.02,0,-350
3.04,-11,-350
3.05,-38,-350
3.07,-74,-350
3.08,-116,-350
3.1,-166,-350
3.12,-218,-350
3.13,-273,-350
3.15,-328,-350
3.17,-384,-350
3.18,-438,-350
3.2,-455,-350
3.22,-442,-350
3.23,-412,-350
3.25,-371,-350
3.27,-325,-350
3.28,-277,-350
3.3,-264,-350
3.32,-280,-350
3.33,-311,-350
3.35,-351,-350
3.37,-397,-350
3.38,-445,-350
3.4,-458,-350
3.42,-440,-350
3.43,-408,-350
3.45,-367,-350
3.47,-320,-350
3.48,-272,-350
3.5,-258,-350
3.52,-272,-350
3.53,-301,-350
3.55,-340,-350
3.57,-386,-350
3.58,-434,-350
3.6,-447,-350
3.62,-431,-350
3.63,-400,-350
3.65,-359,-350
3.66,-312,-350
3.68,-264,-350
3.7,-251,-350
3.72,-268,-350
3.73,-300,-350
3.75,-340,-350
3.77,-387,-350
3.78,-434,-350
3.8,-448,-350
3.82,-431,-350
3.83,-400,-350
3.85,-359,-350
3.86,-312,-350
3.88,-264,-350
3.9,-251,-350
3.91,-267,-350
3.93,-298,-350
3.95,-339,-350
3.96,-385,-350
3.98,-433,-350
4.0,-446,-350
4.01,-431,-350
4.03,-400,-350
4.05,-359,-350
4.06,-312,-350
4.08,-264,-350
4.1,-252,-350
4.11,-268,-350
4.13,-300,-350
4.15,-340,-350
4.16,-387,-350
4.18,-434,-350
4.2,-448,-350
4.21,-431,-350
4.23,-400,-350
4.25,-360,-350
4.26,-313,-350
4.28,-265,-350
4.3,-252,-350
4.31,-268,-350
4.33,-299,-350
4.35,-340,-350
4.36,-386,-350
4.38,-434,-350
4.4,-447,-350
4.41,-432,-350
4.43,-400,-350
4.45,-360,-350
4.46,-313,-350
4.48,-265,-350
4.5,-252,-350
4.51,-268,-350
4.53,-299,-350
4.55,-339,-350
4.56,-385,-350
4.58,-433,-350
4.6,-446,-350
4.61,-431,-350
4.63,-400,-350
4.65,-360,-350
4.66,-313,-350
4.68,-265,-350
4.7,-252,-350
4.71,-268,-350
4.73,-299,-350
4.75,-339,-350
4.76,-385,-350
4.78,-433,-350
4.8,-446,-350
4.81,-431,-350
4.83,-400,-350
4.85,-360,-350
4.86,-313,-350
4.88,-265,-350
4.9,-252,-350
4.91,-268,-350
4.93,-299,-350
4.95,-339,-350
4.96,-385,-350
4.98,-432,-350
5.0,-445,-350
5.01,-431,-350
5.03,-400,-350
5.05,-360,-350
5.06,-314,-350
5.08,-267,-350
5.1,-253,-350
5.11,-268,-350
5.13,-298,-350
5.15,-338,-350
5.16,-384,-350
5.18,-431,-350
5.2,-444,-350
5.21,-428,-350
5.23,-397,-350
5.25,-356,-350
5.26,-310,-350
5.28,-262,-350
5.3,-248,-350
5.31,-262,-350
5.33,-292,-350
5.35,-331,-350
5.36,-377,-350
5.38,-424,-350
5.4,-437,-350
5.41,-421,-350
5.43,-391,-350
5.45,-350,-350
5.46,-304,-350
5.48,-256,-350
5.5,-243,-350
5.51,-258,-350
5.53,-288,-350
5.55,-328,-350
5.56,-374,-350
5.58,-421,-350
5.59,-434,-350
5.61,-419,-350
5.63,-388,-350
5.65,-348,-350
5.66,-302,-350
5.68,-254,-350
5.7,-241,-350
5.71,-256,-350
5.73,-286,-350
5.75,-325,-350
5.76,-371,-350
5.78,-418,-350
5.79,-431,-350
5.81,-418,-350
5.83,-388,-350
5.84,-348,-350
5.86,-302,-350
5.88,-255,-350
5.9,-242,-350
5.91,-258,-350
5.93,-288,-350
5.95,-328,-350
5.96,-374,-350
5.98,-421,-350
5.99,-434,-350
6.01,-419,-350
6.03,-388,-350
6.04,-348,-350
6.06,-302,-350
6.08,-254,-350
6.09,-241,-350
6.11,-256,-350
6.13,-286,-350
6.15,-325,-350
6.16,-371,-350
6.18,-418,-350
