Time,EncoderPosition,TargetCounts
3.02,0,-350
3.02,0,-350
3.02,0,-350
3.02,0,-350
3.02,0,-350
3.02,0,-350
3.04,-1,-350
3.05,-4,-350
3.06,-10,-350
3.08,-18,-350
3.1,-28,-350
3.11,-40,-350
3.13,-53,-350
3.14,-67,-350
3.16,-83,-350
3.17,-99,-350
3.19,-117,-350
3.21,-136,-350
3.22,-156,-350
3.24,-177,-350
3.26,-199,-350
3.27,-221,-350
3.29,-243,-350
3.31,-266,-350
3.32,-288,-350
3.34,-312,-350
3.36,-335,-350
3.37,-359,-350
3.39,-375,-350
3.41,-375,-350
3.42,-375,-350
3.44,-375,-350
3.46,-375,-350
3.47,-375,-350
3.49,-375,-350
3.51,-375,-350
3.52,-375,-350
3.54,-375,-350
3.56,-375,-350
3.57,-375,-350
3.59,-375,-350
3.61,-375,-350
3.62,-375,-350
3.64,-375,-350
3.66,-375,-350
3.67,-375,-350
3.69,-375,-350
3.71,-375,-350
3.72,-375,-350
3.74,-375,-350
3.76,-375,-350
3.77,-375,-350
3.79,-375,-350
3.81,-375,-350
3.82,-375,-350
3.84,-375,-350
3.86,-375,-350
3.87,-375,-350
3.89,-375,-350
3.91,-375,-350
3.92,-375,-350
3.94,-375,-350
3.96,-375,-350
3.97,-375,-350
3.99,-375,-350
4.01,-375,-350
4.02,-375,-350
4.04,-375,-350
4.05,-375,-350
4.07,-375,-350
4.09,-375,-350
4.11,-375,-350
4.12,-375,-350
4.14,-375,-350
4.16,-375,-350
4.17,-375,-350
4.19,-375,-350
4.21,-375,-350
4.22,-375,-350
4.24,-375,-350
4.25,-375,-350
4.27,-375,-350
4.29,-375,-350
4.3,-375,-350
4.32,-375,-350
4.34,-375,-350
4.36,-375,-350
4.37,-375,-350
4.39,-375,-350
4.41,-375,-350
4.42,-375,-350
4.44,-375,-350
4.45,-375,-350
4.47,-375,-350
4.49,-375,-350
4.5,-375,-350
4.52,-375,-350
4.54,-375,-350
4.55,-375,-350
4.57,-375,-350
4.59,-375,-350
4.6,-375,-350
4.62,-375,-350
4.64,-375,-350
4.65,-375,-350
4.67,-375,-350
4.69,-375,-350
4.7,-375,-350
4.72,-375,-350
4.74,-375,-350
4.75,-375,-350
4.77,-375,-350
4.79,-375,-350
4.8,-375,-350
4.82,-375,-350
4.84,-375,-350
4.85,-375,-350
4.87,-375,-350
4.89,-375,-350
4.9,-375,-350
4.92,-375,-350
4.94,-375,-350
4.95,-375,-350
4.97,-375,-350
4.99,-375,-350
5.0,-375,-350
5.02,-375,-350
5.04,-375,-350
5.05,-375,-350
5.07,-375,-350
5.09,-375,-350
5.1,-375,-350
5.12,-375,-350
5.14,-375,-350
5.15,-375,-350
5.17,-375,-350
5.19,-375,-350
5.2,-375,-350
5.22,-375,-350
5.24,-375,-350
5.25,-375,-350
5.27,-375,-350
5.29,-375,-350
5.3,-375,-350
5.32,-375,-350
5.34,-375,-350
5.35,-375,-350
5.37,-375,-350
5.39,-375,-350
5.4,-375,-350
5.42,-375,-350
5.44,-375,-350
5.45,-375,-350
5.47,-375,-350
5.49,-375,-350
5.5,-375,-350
5.52,-375,-350
5.54,-375,-350
5.55,-375,-350
5.57,-375,-350
5.59,-375,-350
5.6,-375,-350
5.62,-375,-350
5.64,-375,-350
5.65,-375,-350
5.67,-375,-350
5.69,-375,-350
5.7,-375,-350
5.72,-375,-350
5.74,-375,-350
5.75,-375,-350
