Time,EncoderPosition,TargetCounts
3.02,1,-700
3.04,-12,-700
3.05,-39,-700
3.07,-77,-700
3.09,-120,-700
3.1,-171,-700
3.12,-225,-700
3.13,-281,-700
3.15,-339,-700
3.17,-397,-700
3.18,-456,-700
3.2,-514,-700
3.22,-574,-700
3.23,-633,-700
3.25,-692,-700
3.27,-749,-700
3.28,-768,-700
3.3,-755,-700
3.32,-724,-700
3.33,-686,-700
3.35,-679,-700
3.37,-699,-700
3.38,-730,-700
3.4,-734,-700
3.42,-712,-700
3.43,-680,-700
3.45,-677,-700
3.47,-698,-700
3.48,-730,-700
3.5,-734,-700
3.52,-713,-700
3.53,-681,-700
3.55,-677,-700
3.57,-698,-700
3.58,-730,-700
3.6,-734,-700
3.62,-713,-700
3.63,-681,-700
3.65,-677,-700
3.67,-698,-700
3.68,-730,-700
3.7,-734,-700
3.72,-713,-700
3.73,-681,-700
3.75,-677,-700
3.77,-698,-700
3.78,-730,-700
3.8,-734,-700
3.82,-713,-700
3.83,-681,-700
3.85,-677,-700
3.87,-698,-700
3.88,-730,-700
3.9,-734,-700
3.92,-713,-700
3.93,-681,-700
3.95,-677,-700
3.97,-698,-700
3.98,-730,-700
4.0,-734,-700
4.02,-713,-700
4.03,-681,-700
4.05,-677,-700
4.07,-698,-700
4.08,-730,-700
4.1,-734,-700
4.12,-713,-700
4.13,-681,-700
4.15,-677,-700
4.17,-698,-700
4.18,-730,-700
4.2,-734,-700
4.22,-713,-700
4.23,-681,-700
4.25,-677,-700
4.26,-698,-700
4.28,-730,-700
4.3,-734,-700
4.32,-713,-700
4.33,-681,-700
4.35,-677,-700
4.37,-698,-700
4.38,-730,-700
4.4,-734,-700
4.42,-713,-700
4.43,-681,-700
4.45,-677,-700
4.47,-698,-700
4.48,-730,-700
4.5,-734,-700
4.51,-713,-700
4.53,-681,-700
4.55,-677,-700
4.57,-698,-700
4.58,-730,-700
4.6,-734,-700
4.62,-713,-700
4.63,-681,-700
4.65,-677,-700
4.67,-698,-700
4.68,-730,-700
4.7,-734,-700
4.72,-713,-700
4.73,-681,-700
4.75,-677,-700
4.76,-698,-700
4.78,-730,-700
4.8,-733,-700
4.82,-713,-700
4.83,-681,-700
4.85,-677,-700
4.86,-698,-700
4.88,-730,-700
4.9,-734,-700
4.92,-713,-700
4.93,-681,-700
4.95,-677,-700
4.97,-698,-700
4.98,-730,-700
5.0,-733,-700
5.01,-713,-700
5.03,-681,-700
5.05,-677,-700
5.06,-698,-700
5.08,-730,-700
5.1,-733,-700
5.11,-713,-700
5.13,-681,-700
5.15,-677,-700
5.17,-698,-700
5.18,-730,-700
5.2,-733,-700
5.22,-713,-700
5.23,-681,-700
5.25,-677,-700
5.26,-698,-700
5.28,-730,-700
5.3,-734,-700
5.31,-713,-700
5.33,-681,-700
5.35,-677,-700
5.36,-698,-700
5.38,-730,-700
5.4,-733,-700
5.41,-713,-700
