Time,EncoderPosition,TargetCounts
3.02,0,-700
3.04,-2,-700
3.05,-8,-700
3.07,-16,-700
3.08,-27,-700
3.1,-39,-700
3.11,-53,-700
3.13,-69,-700
3.14,-86,-700
3.16,-103,-700
3.18,-124,-700
3.19,-144,-700
3.21,-166,-700
3.23,-188,-700
3.24,-211,-700
3.26,-234,-700
3.28,-258,-700
3.29,-282,-700
3.31,-306,-700
3.33,-331,-700
3.34,-355,-700
3.36,-380,-700
3.38,-406,-700
3.39,-431,-700
3.41,-456,-700
3.43,-482,-700
3.44,-507,-700
3.46,-533,-700
3.48,-559,-700
3.49,-585,-700
3.51,-611,-700
3.53,-637,-700
3.54,-663,-700
3.56,-690,-700
3.58,-716,-700
3.59,-732,-700
3.61,-736,-700
3.63,-736,-700
3.64,-730,-700
3.66,-722,-700
3.68,-711,-700
3.69,-697,-700
3.71,-683,-700
3.73,-678,-700
3.74,-680,-700
3.76,-686,-700
3.78,-696,-700
3.79,-707,-700
3.81,-710,-700
3.83,-708,-700
3.84,-703,-700
3.86,-695,-700
3.88,-694,-700
3.89,-695,-700
3.91,-698,-700
3.93,-704,-700
3.94,-703,-700
3.96,-699,-700
3.98,-699,-700
3.99,-699,-700
4.01,-699,-700
4.03,-699,-700
4.04,-699,-700
4.06,-699,-700
4.07,-699,-700
4.09,-699,-700
4.11,-699,-700
4.13,-699,-700
4.14,-699,-700
4.16,-699,-700
4.18,-699,-700
4.19,-699,-700
4.21,-699,-700
4.23,-699,-700
4.24,-699,-700
4.26,-699,-700
4.28,-699,-700
4.29,-699,-700
4.31,-699,-700
4.32,-699,-700
4.34,-699,-700
4.36,-699,-700
4.38,-699,-700
4.39,-699,-700
4.41,-699,-700
4.43,-699,-700
4.44,-699,-700
4.46,-699,-700
4.47,-699,-700
4.49,-699,-700
4.51,-699,-700
4.53,-699,-700
4.54,-699,-700
4.56,-699,-700
4.57,-699,-700
4.59,-699,-700
4.61,-699,-700
4.63,-699,-700
4.64,-699,-700
4.66,-699,-700
4.67,-699,-700
4.69,-699,-700
4.71,-699,-700
4.72,-699,-700
4.74,-699,-700
4.76,-699,-700
4.77,-699,-700
4.79,-699,-700
4.81,-699,-700
4.82,-699,-700
4.84,-699,-700
4.86,-699,-700
4.87,-699,-700
4.89,-699,-700
4.91,-699,-700
4.92,-699,-700
4.94,-699,-700
4.96,-699,-700
4.97,-699,-700
4.99,-699,-700
5.01,-699,-700
5.02,-699,-700
5.04,-699,-700
5.06,-699,-700
5.07,-699,-700
5.09,-699,-700
5.11,-699,-700
5.12,-699,-700
5.14,-699,-700
5.16,-699,-700
5.17,-699,-700
5.19,-699,-700
5.21,-699,-700
5.22,-699,-700
5.24,-699,-700
5.26,-699,-700
5.27,-699,-700
5.29,-699,-700
5.31,-699,-700
5.32,-699,-700
5.34,-699,-700
