Time,EncoderPosition,TargetCounts
3.02,1,-700
3.04,-6,-700
3.05,-22,-700
3.07,-47,-700
3.08,-78,-700
3.1,-113,-700
3.12,-154,-700
3.13,-198,-700
3.15,-243,-700
3.17,-290,-700
3.18,-338,-700
3.2,-387,-700
3.22,-436,-700
3.23,-486,-700
3.25,-537,-700
3.27,-587,-700
3.28,-638,-700
3.3,-690,-700
3.32,-740,-700
3.33,-766,-700
3.35,-767,-700
3.37,-752,-700
3.38,-727,-700
3.4,-695,-700
3.42,-660,-700
3.43,-648,-700
3.45,-656,-700
3.47,-677,-700
3.48,-705,-700
3.5,-739,-700
3.52,-751,-700
3.53,-743,-700
3.55,-724,-700
3.57,-696,-700
3.58,-663,-700
3.6,-651,-700
3.62,-660,-700
3.63,-681,-700
3.65,-700,-700
3.66,-700,-700
3.68,-700,-700
3.7,-700,-700
3.72,-700,-700
3.73,-700,-700
3.75,-700,-700
3.77,-700,-700
3.78,-700,-700
3.8,-700,-700
3.82,-700,-700
3.83,-700,-700
3.85,-700,-700
3.86,-700,-700
3.88,-700,-700
3.9,-700,-700
3.91,-700,-700
3.93,-700,-700
3.95,-700,-700
3.96,-700,-700
3.98,-700,-700
4.0,-700,-700
4.01,-700,-700
4.03,-700,-700
4.05,-700,-700
4.06,-700,-700
4.08,-700,-700
4.1,-700,-700
4.11,-700,-700
4.13,-700,-700
4.15,-700,-700
4.16,-700,-700
4.18,-700,-700
4.2,-700,-700
4.21,-700,-700
4.23,-700,-700
4.25,-700,-700
4.26,-700,-700
4.28,-700,-700
4.3,-700,-700
4.31,-700,-700
4.33,-700,-700
4.35,-700,-700
4.36,-700,-700
4.38,-700,-700
4.4,-700,-700
4.41,-700,-700
4.43,-700,-700
4.45,-700,-700
4.46,-700,-700
4.48,-700,-700
4.5,-700,-700
4.51,-700,-700
4.53,-700,-700
4.55,-700,-700
4.56,-700,-700
4.58,-700,-700
4.6,-700,-700
4.61,-700,-700
4.63,-700,-700
4.65,-700,-700
4.66,-700,-700
4.68,-700,-700
4.7,-700,-700
4.71,-700,-700
4.73,-700,-700
4.75,-700,-700
4.76,-700,-700
4.78,-700,-700
4.8,-700,-700
4.81,-700,-700
4.83,-700,-700
4.85,-700,-700
4.86,-700,-700
4.88,-700,-700
4.9,-700,-700
4.91,-700,-700
4.93,-700,-700
4.95,-700,-700
4.96,-700,-700
4.98,-700,-700
5.0,-700,-700
5.01,-700,-700
5.03,-700,-700
5.05,-700,-700
5.06,-700,-700
5.08,-700,-700
5.1,-700,-700
5.11,-700,-700
5.13,-700,-700
5.15,-700,-700
5.16,-700,-700
5.18,-700,-700
5.2,-700,-700
5.21,-700,-700
5.23,-700,-700
5.25,-700,-700
5.26,-700,-700
5.28,-700,-700
5.3,-700,-700
5.31,-700,-700
5.33,-700,-700
