Time,EncoderPosition,TargetCounts
3.02,0,350
3.02,0,350
3.02,0,350
3.02,0,350
3.02,0,350
3.02,0,350
3.03,1,350
3.04,7,350
3.05,18,350
3.07,33,350
3.08,51,350
3.1,72,350
3.11,95,350
3.12,120,350
3.14,148,350
3.15,178,350
3.17,209,350
3.18,240,350
3.19,273,350
3.21,306,350
3.22,339,350
3.24,373,350
3.25,406,350
3.27,425,350
3.28,430,350
3.3,426,350
3.31,417,350
3.33,402,350
3.34,384,350
3.36,363,350
3.37,339,350
3.38,314,350
3.4,301,350
3.41,301,350
3.43,307,350
3.44,318,350
3.46,334,350
3.47,353,350
3.49,376,350
3.5,399,350
3.52,410,350
3.53,410,350
3.55,405,350
3.56,393,350
3.57,378,350
3.59,358,350
3.6,336,350
3.62,312,350
3.63,301,350
3.65,301,350
3.66,307,350
3.68,319,350
3.69,335,350
3.7,354,350
3.72,377,350
3.73,400,350
3.75,412,350
3.76,410,350
3.78,403,350
3.79,390,350
3.81,373,350
3.82,352,350
3.84,329,350
3.85,305,350
3.86,294,350
3.88,294,350
3.89,301,350
3.91,314,350
3.92,330,350
3.94,350,350
3.95,373,350
3.97,398,350
3.98,410,350
4.0,411,350
4.01,405,350
4.03,394,350
4.04,379,350
4.05,359,350
4.07,337,350
4.08,313,350
4.1,302,350
4.11,302,350
4.13,309,350
4.14,321,350
4.16,337,350
4.17,357,350
4.19,371,350
4.2,371,350
4.21,371,350
4.23,371,350
4.24,371,350
4.26,371,350
4.27,371,350
4.29,371,350
4.3,371,350
4.32,371,350
4.33,371,350
4.34,371,350
4.36,371,350
4.37,371,350
4.39,371,350
4.4,371,350
4.42,371,350
4.43,371,350
4.45,371,350
4.46,371,350
4.48,371,350
4.49,371,350
4.51,371,350
4.52,371,350
4.53,371,350
4.55,371,350
4.56,371,350
4.58,371,350
4.59,371,350
4.61,371,350
4.62,371,350
4.64,371,350
4.65,371,350
4.67,371,350
4.68,371,350
4.7,371,350
4.71,371,350
4.72,371,350
4.74,371,350
4.75,371,350
4.77,371,350
4.78,371,350
4.8,371,350
4.81,371,350
4.83,371,350
4.84,371,350
4.85,371,350
4.87,371,350
4.88,371,350
4.9,371,350
4.91,371,350
4.93,371,350
4.94,371,350
4.96,371,350
4.97,371,350
4.99,371,350
5.0,371,350
5.01,371,350
5.03,371,350
5.04,371,350
5.06,371,350
5.07,371,350
5.09,371,350
5.1,371,350
5.12,371,350
5.13,371,350
5.15,371,350
5.16,371,350
5.18,371,350
5.19,371,350
5.2,371,350
5.22,371,350
5.23,371,350
5.25,371,350
5.26,371,350
5.28,371,350
5.29,371,350
5.31,371,350
5.32,371,350
5.34,371,350
5.35,371,350
5.36,371,350
5.38,371,350
5.39,371,350
5.41,371,350
5.42,371,350
5.44,371,350
5.45,371,350
5.47,371,350
5.48,371,350
5.5,371,350
5.51,371,350
5.52,371,350
5.54,371,350
5.55,371,350
5.57,371,350
5.58,371,350
5.6,371,350
5.61,371,350
5.63,371,350
5.64,371,350
5.66,371,350
5.67,371,350
5.69,371,350
5.7,371,350
5.71,371,350
5.73,371,350
5.74,371,350
5.76,371,350
5.77,371,350
5.79,371,350
5.8,371,350
5.82,371,350
5.83,371,350
5.84,371,350
5.86,371,350
5.87,371,350
5.89,371,350
5.9,371,350
5.92,371,350
5.93,371,350
5.95,371,350
5.96,371,350
5.98,371,350
5.99,371,350
6.01,371,350
6.02,371,350
6.03,371,350
6.05,371,350
6.06,371,350
6.08,371,350
6.09,371,350
6.11,371,350
6.12,371,350
6.14,371,350
6.15,371,350
6.17,371,350
6.18,371,350
6.19,371,350
