Time,EncoderPosition,TargetCounts
3.02,0,350
3.02,0,350
3.02,0,350
3.02,0,350
3.02,0,350
3.02,0,350
3.03,2,350
3.04,17,350
3.06,42,350
3.07,72,350
3.08,107,350
3.1,148,350
3.11,191,350
3.13,236,350
3.14,282,350
3.16,330,350
3.17,377,350
3.18,423,350
3.2,441,350
3.21,434,350
3.23,414,350
3.24,384,350
3.26,349,350
3.27,309,350
3.29,268,350
3.3,254,350
3.32,264,350
3.33,286,350
3.35,317,350
3.36,354,350
3.37,394,350
3.39,434,350
3.4,448,350
3.42,439,350
3.43,418,350
3.45,387,350
3.46,351,350
3.48,311,350
3.49,270,350
3.51,256,350
3.52,264,350
3.53,286,350
3.55,316,350
3.56,352,350
3.58,392,350
3.59,432,350
3.61,446,350
3.62,438,350
3.64,417,350
3.65,387,350
3.66,352,350
3.68,312,350
3.69,271,350
3.71,257,350
3.72,265,350
3.74,287,350
3.75,317,350
3.77,353,350
3.78,393,350
3.8,433,350
3.81,447,350
3.83,438,350
3.84,416,350
3.85,385,350
3.87,349,350
3.88,308,350
3.9,268,350
3.91,253,350
3.93,262,350
3.94,284,350
3.96,315,350
3.97,351,350
3.98,391,350
4,431,350
4.01,445,350
4.03,438,350
4.04,417,350
4.06,388,350
4.07,352,350
4.09,312,350
4.1,272,350
4.12,257,350
4.13,266,350
4.15,287,350
4.16,316,350
4.17,352,350
4.19,392,350
4.2,432,350
4.22,446,350
4.23,438,350
4.25,417,350
4.26,388,350
4.28,352,350
4.29,312,350
4.3,271,350
4.32,257,350
4.33,266,350
4.35,287,350
4.36,316,350
4.38,352,350
4.39,392,350
4.41,432,350
4.42,446,350
4.44,438,350
4.45,417,350
4.47,388,350
4.48,352,350
4.5,312,350
4.51,272,350
4.52,257,350
4.54,266,350
4.55,287,350
4.57,316,350
4.58,352,350
4.6,392,350
4.61,432,350
4.63,446,350
4.64,438,350
4.66,418,350
4.67,388,350
4.68,352,350
4.7,312,350
4.71,272,350
4.73,258,350
4.74,267,350
4.76,288,350
4.77,318,350
4.79,354,350
4.8,394,350
4.82,434,350
4.83,448,350
4.84,438,350
4.86,416,350
4.87,386,350
4.89,349,350
4.9,309,350
4.92,268,350
4.93,254,350
4.95,264,350
4.96,286,350
4.98,317,350
4.99,353,350
5.01,393,350
5.02,433,350
5.03,447,350
5.05,438,350
5.06,416,350
5.08,386,350
5.09,349,350
5.11,309,350
5.12,268,350
5.14,254,350
5.15,264,350
5.17,286,350
5.18,317,350
5.19,353,350
5.21,393,350
5.22,433,350
5.24,447,350
5.25,438,350
5.27,416,350
5.28,386,350
5.3,350,350
5.31,310,350
5.32,269,350
5.34,255,350
5.35,264,350
5.37,286,350
5.38,316,350
5.4,352,350
5.41,392,350
5.43,432,350
5.44,446,350
5.46,438,350
5.47,418,350
5.49,388,350
5.5,352,350
5.51,313,350
5.53,272,350
5.54,258,350
5.56,268,350
5.57,290,350
5.59,320,350
5.6,356,350
5.62,396,350
5.63,436,350
5.65,450,350
5.66,441,350
5.68,419,350
5.69,389,350
5.7,353,350
5.72,313,350
5.73,272,350
5.75,258,350
5.76,266,350
5.78,287,350
5.79,317,350
5.81,353,350
5.82,392,350
5.83,432,350
5.85,447,350
5.86,438,350
5.88,417,350
5.89,387,350
5.91,351,350
5.92,311,350
5.94,270,350
5.95,256,350
5.97,264,350
5.98,286,350
5.99,316,350
6.01,351,350
6.02,391,350
6.04,431,350
6.05,446,350
6.07,438,350
6.08,418,350
6.1,388,350
6.11,352,350
6.13,313,350
6.14,272,350
6.16,258,350
6.17,267,350
6.18,288,350
6.2,318,350
6.21,354,350
6.23,394,350
6.24,434,350
6.26,448,350
6.27,438,350
6.29,416,350
6.3,385,350
6.32,349,350
6.33,308,350
6.34,267,350
6.36,253,350
6.37,260,350
6.39,280,350
6.4,309,350
6.42,345,350
6.43,384,350
6.45,424,350
6.46,438,350
6.48,428,350
