Time,EncoderPosition,TargetCounts
3.02,0,350
3.02,0,350
3.02,0,350
3.02,0,350
3.02,0,350
3.02,0,350
3.03,4,350
3.04,14,350
3.06,32,350
3.07,54,350
3.08,81,350
3.1,110,350
3.11,144,350
3.13,180,350
3.14,218,350
3.15,257,350
3.17,297,350
3.18,337,350
3.2,378,350
3.21,418,350
3.23,439,350
3.24,440,350
3.26,431,350
3.27,413,350
3.29,389,350
3.3,361,350
3.31,330,350
3.33,297,350
3.34,282,350
3.36,284,350
3.37,296,350
3.39,316,350
3.4,341,350
3.42,370,350
3.43,401,350
3.45,415,350
3.46,413,350
3.48,401,350
3.49,382,350
3.5,358,350
3.52,329,350
3.53,298,350
3.55,284,350
3.56,288,350
3.58,301,350
3.59,321,350
3.61,347,350
3.62,376,350
3.64,407,350
3.65,421,350
3.66,416,350
3.68,402,350
3.69,381,350
3.71,355,350
3.72,325,350
3.74,293,350
3.75,279,350
3.77,283,350
3.78,297,350
3.79,317,350
3.81,343,350
3.82,372,350
3.84,403,350
3.85,417,350
3.87,413,350
3.88,400,350
3.9,380,350
3.91,354,350
3.93,325,350
3.94,294,350
3.96,280,350
3.97,284,350
3.98,297,350
4.0,318,350
4.01,344,350
4.03,373,350
4.04,404,350
4.06,418,350
4.07,415,350
4.09,402,350
4.1,381,350
4.11,356,350
4.13,326,350
4.15,295,350
4.16,281,350
4.17,284,350
4.19,297,350
4.2,317,350
4.22,342,350
4.23,372,350
4.25,402,350
4.26,415,350
4.28,413,350
4.29,400,350
4.3,381,350
4.32,356,350
4.33,327,350
4.35,296,350
4.36,283,350
4.38,286,350
4.39,299,350
4.41,319,350
4.42,344,350
4.44,373,350
4.45,404,350
4.46,417,350
4.48,414,350
4.49,401,350
4.51,381,350
4.52,356,350
4.54,326,350
4.55,295,350
4.57,282,350
4.58,285,350
4.59,299,350
4.61,319,350
4.63,344,350
4.64,374,350
4.65,405,350
4.67,418,350
4.68,414,350
4.7,401,350
4.71,381,350
4.73,355,350
4.74,326,350
4.76,295,350
4.77,282,350
4.78,285,350
4.8,299,350
4.81,319,350
4.83,344,350
4.84,374,350
4.86,405,350
4.87,418,350
4.89,414,350
4.9,401,350
4.92,381,350
4.93,356,350
4.95,326,350
4.96,296,350
4.97,282,350
4.99,286,350
5.0,299,350
5.02,320,350
5.03,345,350
5.05,375,350
5.06,405,350
5.08,418,350
5.09,414,350
5.11,401,350
5.12,381,350
5.14,355,350
5.15,326,350
5.16,295,350
5.18,282,350
5.19,286,350
5.21,299,350
5.22,320,350
5.24,345,350
5.25,375,350
5.26,406,350
5.28,419,350
5.3,415,350
5.31,401,350
5.32,381,350
5.34,355,350
5.35,326,350
5.37,294,350
5.38,281,350
5.4,284,350
5.41,298,350
5.43,318,350
5.44,343,350
5.45,372,350
5.47,403,350
5.48,417,350
5.5,413,350
5.51,400,350
5.53,380,350
5.54,354,350
5.56,324,350
5.57,293,350
5.59,279,350
5.6,282,350
5.61,295,350
5.63,315,350
5.64,340,350
5.66,369,350
5.67,400,350
5.69,413,350
5.7,409,350
5.72,396,350
5.73,376,350
5.75,350,350
5.76,320,350
5.78,289,350
5.79,274,350
5.8,278,350
5.82,290,350
5.83,310,350
5.85,336,350
5.86,365,350
5.88,386,350
5.89,386,350
5.91,386,350
5.92,386,350
5.94,386,350
5.95,386,350
5.96,386,350
5.98,386,350
5.99,386,350
6.01,386,350
6.02,386,350
6.04,386,350
6.05,386,350
6.07,386,350
6.08,386,350
6.09,386,350
6.11,386,350
6.12,386,350
6.14,386,350
6.15,386,350
6.17,386,350
6.18,386,350
6.2,386,350
6.21,386,350
6.23,386,350
6.24,386,350
6.26,386,350
6.27,386,350
6.28,386,350
6.3,386,350
6.31,386,350
6.33,386,350
6.34,386,350
6.36,386,350
6.37,386,350
6.39,386,350
6.4,386,350
6.42,386,350
6.43,386,350
6.45,386,350
6.46,386,350
6.47,386,350
